doc_id,document_link,page_count,cleaned_filer_names,member_name,member_id,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500014454,https://www.documentcloud.org/documents/24145203-500014454,24,Susan Brooks,"Brooks, Susan W.",B001284,TRUE,IN,5,R,2015,Original,2015-08-08,2015-08-20,13,Aspen Institute,"Arusha, Tanzania",international,NA
500014458,https://www.documentcloud.org/documents/24145199-500014458,23,Dan Benishek,"Benishek, Dan",B001271,TRUE,MI,1,R,2015,Original,2015-08-08,2015-08-19,12,Aspen Institute,"Arusha, Tanzania",international,NA
500014459,https://www.documentcloud.org/documents/24145198-500014459,39,Billy Long,"Long, Billy",L000576,TRUE,MO,7,R,2015,Original,2015-08-08,2015-08-20,13,Aspen Institute,"Arusha, Tanzania",international,NA
500014477,https://www.documentcloud.org/documents/24145180-500014477,26,Chris Collins,"Collins, Chris",C001092,TRUE,NY,27,R,2015,Original,2015-08-08,2015-08-18,11,Aspen Institute,"Arusha, Tanzania",international,NA
500014525,https://www.documentcloud.org/documents/24145135-500014525,29,Fred Upton,"Upton, Fred",U000031,TRUE,MI,6,R,2015,Original,2015-08-08,2015-08-20,13,Aspen Institute,"Arusha, Tanzania",international,NA
500014644,https://www.documentcloud.org/documents/24145022-500014644,22,Jeffrey Billman,"Roskam, Peter",R000580,FALSE,IL,6,R,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014645,https://www.documentcloud.org/documents/24145021-500014645,20,Justin Vogt,"Hahn, Janice",H001063,FALSE,CA,44,D,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014646,https://www.documentcloud.org/documents/24145020-500014646,21,Jaclyn Cahan,"Lynch, Stephen",L000562,FALSE,MA,8,D,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014647,https://www.documentcloud.org/documents/24145019-500014647,20,Justin Wein,"Price, David E.",P000523,FALSE,NC,4,D,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014655,https://www.documentcloud.org/documents/24145011-500014655,21,Dennis J. Peterson,"Dent, Charles",D000604,FALSE,PA,15,R,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014656,https://www.documentcloud.org/documents/24145010-500014656,21,Chelsea Taff,"Womack, Steve",W000809,FALSE,AR,3,R,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014664,https://www.documentcloud.org/documents/24145003-500014664,21,Marin Stein,"Lowey, Nita M.",L000480,FALSE,NY,17,D,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014670,https://www.documentcloud.org/documents/24144997-500014670,19,Matthew Bryan Weinstein,"Byrne, Bradley",B001289,FALSE,AL,1,R,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014686,https://www.documentcloud.org/documents/24144982-500014686,21,Janice Kaguyutan,"Engel, Eliot L.",E000179,FALSE,NY,16,D,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014693,https://www.documentcloud.org/documents/24144976-500014693,16,Jonathan Smith,"Kilmer, Derek",K000381,FALSE,WA,6,D,2015,Original,2015-10-11,2015-10-16,6,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014695,https://www.documentcloud.org/documents/24144974-500014695,16,Abigail Curran Horrell,"Kuster, Ann",K000382,FALSE,NH,2,D,2015,Original,2015-10-11,2015-10-16,6,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014703,https://www.documentcloud.org/documents/24144966-500014703,16,Tom Van Flein,"Gosar, Paul",G000565,FALSE,AZ,9,R,2015,Original,2015-10-11,2015-10-19,9,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014705,https://www.documentcloud.org/documents/24144964-500014705,15,Julie Little Nickson,"Lee, Barbara",L000551,FALSE,CA,12,D,2015,Original,2015-10-11,2015-10-18,8,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
