doc_id,document_link,cleaned_filer_names,member_name,state,party,year,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,country_is_donor,page_count,member_id,traveler_is_likely_member,district,filing_type,dom_or_int,notes
500019822,https://www.documentcloud.org/documents/24139910-500019822,David E. Price,"Price, David E.",NC,D,2018,2018-05-25,2018-06-03,10,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019823,https://www.documentcloud.org/documents/24139909-500019823,Elizabeth Esty,"Esty, Elizabeth",CT,D,2018,2018-05-28,2018-06-03,7,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019824,https://www.documentcloud.org/documents/24139908-500019824,Donald Beyer,"Beyer, Donald",VA,D,2018,2018-05-24,2018-06-02,10,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019825,https://www.documentcloud.org/documents/24139907-500019825,Mark Meadows,"Meadows, Mark",NC,R,2018,2018-05-28,2018-06-02,6,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019835,https://www.documentcloud.org/documents/24139897-500019835,Earl Blumenauer,"Blumenauer, Earl",OR,D,2018,2018-05-25,2018-06-03,10,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019860,https://www.documentcloud.org/documents/24139872-500019860,Tom Rice,"Rice, Tom",SC,R,2018,2018-05-28,2018-06-03,7,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019861,https://www.documentcloud.org/documents/24139871-500019861,Mike Quigley,"Quigley, Mike",IL,D,2018,2018-05-28,2018-06-03,7,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019881,https://www.documentcloud.org/documents/24139851-500019881,John P. Sarbanes,"Sarbanes, John",MD,D,2018,2018-06-03,2018-06-04,2,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019885,https://www.documentcloud.org/documents/24139847-500019885,Jeff Fortenberry,"Fortenberry, Jeff",NE,R,2018,2018-05-28,2018-06-03,7,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019886,https://www.documentcloud.org/documents/24139846-500019886,Nita Lowey,"Lowey, Nita M.",NY,D,2018,2018-05-25,2018-06-03,10,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500021794,https://www.documentcloud.org/documents/24137048-500021794,Hope Goins,"Thompson, Bennie",MS,D,2019,2019-06-27,2019-07-02,6,German Marshall Fund Of The United States,"Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500021796,https://www.documentcloud.org/documents/24137046-500021796,Jeffrey Wilson,"Turner, Michael",OH,R,2019,2019-06-27,2019-06-30,4,German Marshall Fund Of The United States,"Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500021820,https://www.documentcloud.org/documents/24137026-500021820,Kyle Hill,"DelBene, Suzan",WA,D,2019,2019-06-27,2019-06-30,4,German Marshall Fund Of The United States,"Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500022640,https://www.documentcloud.org/documents/24135990-500022640,Michael Gregory Steger,"Sensenbrenner, F. James",WI,R,2019,2019-11-02,2019-11-08,7,German Marshall Fund Of The United States;BSA | The Software Alliance,"Berlin, Germany; Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500022641,https://www.documentcloud.org/documents/24135989-500022641,F. James Sensenbrenner,"Sensenbrenner, F. James",WI,R,2019,2019-11-02,2019-11-08,7,German Marshall Fund Of The United States;BSA | The Software Alliance,"Berlin, Germany; Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500022642,https://www.documentcloud.org/documents/24135988-500022642,Greg Walden,"Walden, Greg",OR,R,2019,2019-11-02,2019-11-09,8,German Marshall Fund Of The United States;BSA | The Software Alliance,"Berlin, Germany; Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500022646,https://www.documentcloud.org/documents/24135984-500022646,Rachel Ver Velde,"Grothman, Glenn",WI,R,2019,2019-11-03,2019-11-08,6,German Marshall Fund Of The United States;BSA | The Software Alliance,"Berlin, Germany; Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500022647,https://www.documentcloud.org/documents/24135983-500022647,Glenn Grothman,"Grothman, Glenn",WI,R,2019,2019-11-03,2019-11-08,6,German Marshall Fund Of The United States;BSA | The Software Alliance,"Berlin, Germany; Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500022656,https://www.documentcloud.org/documents/24135974-500022656,Charlie Crist,"Crist, Charlie",FL,D,2019,2019-11-03,2019-11-07,5,German Marshall Fund Of The United States;BSA | The Software Alliance,"Berlin, Germany; Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500022657,https://www.documentcloud.org/documents/24135973-500022657,Austin Durrer,"Crist, Charlie",FL,D,2019,2019-11-01,2019-11-07,7,German Marshall Fund Of The United States;BSA | The Software Alliance,"Berlin, Germany; Brussels, Belgium",yes,NA,NA,NA,NA,NA,NA,NA
500020679,https://www.documentcloud.org/documents/24138154-500020679,Scott R. Tipton,"Tipton, Scott R.",CO,R,2019,2019-02-19,2019-02-24,6,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Dresden, Germany",yes,NA,NA,NA,NA,NA,NA,NA
500020680,https://www.documentcloud.org/documents/24138153-500020680,David B. McKinley,"McKinley, David B.",WV,R,2019,2019-02-18,2019-02-24,7,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Dresden, Germany",yes,NA,NA,NA,NA,NA,NA,NA
500020714,https://www.documentcloud.org/documents/24138148-500020714,Anthony Brown,"Brown, Anthony G.",MD,D,2019,2019-02-19,2019-02-24,6,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Dresden, Germany",yes,NA,NA,NA,NA,NA,NA,NA
500020730,https://www.documentcloud.org/documents/24138140-500020730,John H. Rutherford,"Rutherford, John",FL,R,2019,2019-02-18,2019-02-24,7,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Dresden, Germany",yes,NA,NA,NA,NA,NA,NA,NA
500020733,https://www.documentcloud.org/documents/24138137-500020733,Sean Maloney,"Maloney, Sean Patrick",NY,D,2019,2019-02-18,2019-02-24,7,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Dresden, Germany",yes,NA,NA,NA,NA,NA,NA,NA
500020742,https://www.documentcloud.org/documents/24138129-500020742,Alma Adams,"Adams, Alma",NC,D,2019,2019-02-18,2019-02-24,7,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Dresden, Germany",yes,NA,NA,NA,NA,NA,NA,NA
500020766,https://www.documentcloud.org/documents/24138105-500020766,Doug Lamborn,"Lamborn, Doug",CO,R,2019,2019-02-18,2019-02-25,8,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Dresden, Germany",yes,NA,NA,NA,NA,NA,NA,NA
500020781,https://www.documentcloud.org/documents/24138092-500020781,Alice Johnson,"Scott, Austin",GA,R,2019,2019-03-02,2019-03-08,7,U.S. Association Of Former Members Of Congress,"Busan, South Korea; Seoul, South Korea",yes,18,NA,NA,NA,NA,NA,NA
500020249,https://www.documentcloud.org/documents/24138595-500020249,Chad Yelinski,"Meadows, Mark",NC,R,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020250,https://www.documentcloud.org/documents/24138594-500020250,Jaclyn Cahan,"Lynch, Stephen",MA,D,2018,2018-08-24,2018-09-01,9,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020257,https://www.documentcloud.org/documents/24138588-500020257,Thomas Hester,"McCaul, Michael",TX,R,2018,2018-08-26,2018-09-02,8,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020258,https://www.documentcloud.org/documents/24138587-500020258,Walter Gonzales,"Ruppersberger, C.",MD,D,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020259,https://www.documentcloud.org/documents/24138586-500020259,Joshua Aaron Rogin,"Deutch, Theodore E.",FL,D,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020260,https://www.documentcloud.org/documents/24138585-500020260,Jay Gertsema,"Titus, Dina",NV,D,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020268,https://www.documentcloud.org/documents/24138577-500020268,Kyra Murphy,"Russell, Steve",OK,R,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020269,https://www.documentcloud.org/documents/24138576-500020269,Allison Jarus,"Quigley, Mike",IL,D,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020270,https://www.documentcloud.org/documents/24138575-500020270,Brandon White,"Cook, Paul",CA,R,2018,2018-08-26,2018-09-02,8,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020271,https://www.documentcloud.org/documents/24138574-500020271,Glenn Wavrunek,"Pocan, Mark",WI,D,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020274,https://www.documentcloud.org/documents/24138571-500020274,Terra Sabag,"Larsen, Rick",WA,D,2018,2018-08-26,2018-09-02,8,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020278,https://www.documentcloud.org/documents/24138567-500020278,Mace Flitter,"Fitzpatrick, Brian",PA,R,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020279,https://www.documentcloud.org/documents/24138566-500020279,Shira Siegel,"Lowey, Nita M.",NY,D,2018,2018-08-24,2018-09-01,9,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020280,https://www.documentcloud.org/documents/24138565-500020280,Travis Trejo,"Harris, Andy",MD,R,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020281,https://www.documentcloud.org/documents/24138564-500020281,Elizabeth Thompson,"Garamendi, John",CA,D,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020286,https://www.documentcloud.org/documents/24138559-500020286,Mark Henson,"Himes, James",CT,D,2018,2018-08-23,2018-08-31,9,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020291,https://www.documentcloud.org/documents/24138554-500020291,Phillip Tehrani,"Scott, Austin",GA,R,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500020298,https://www.documentcloud.org/documents/24138547-500020298,Andrew Braun,"Lamborn, Doug",CO,R,2018,2018-08-26,2018-08-31,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund,"Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500021321,https://www.documentcloud.org/documents/24137508-500021321,Theodore Deutch,"Deutch, Theodore E.",FL,D,2019,2019-05-25,2019-06-02,9,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund;Carnegie Corporation Of New York,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
500021322,https://www.documentcloud.org/documents/24412578-500021322,Jim Banks,"Banks, Jim",IN,R,2019,2019-05-27,2019-06-02,7,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund;Carnegie Corporation Of New York,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
500021323,https://www.documentcloud.org/documents/24137506-500021323,Vicky Hartzler,"Hartzler, Vicky",MO,R,2019,2019-05-27,2019-06-01,6,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund;Carnegie Corporation Of New York,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
500021340,https://www.documentcloud.org/documents/24412587-500021340,Billy Long,"Long, Billy",MO,R,2019,2019-05-27,2019-06-02,7,Aspen Institute,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
500021341,https://www.documentcloud.org/documents/24412588-500021341,John P. Sarbanes,"Sarbanes, John",MD,D,2019,2019-05-27,2019-06-02,7,Aspen Institute,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
500021352,https://www.documentcloud.org/documents/24412598-500021352,Scott R. Tipton,"Tipton, Scott R.",CO,R,2019,2019-05-27,2019-06-02,7,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund;Carnegie Corporation Of New York,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
500021353,https://www.documentcloud.org/documents/24412599-500021353,Mark Meadows,"Meadows, Mark",NC,R,2019,2019-05-27,2019-06-02,7,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund;Carnegie Corporation Of New York,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
500021361,https://www.documentcloud.org/documents/24137469-500021361,John Garamendi,"Garamendi, John",CA,D,2019,2019-05-27,2019-06-02,7,Aspen Institute;Henry Luce Foundation;Democracy Fund;Rockefeller Brothers Fund;Carnegie Corporation Of New York,"Prague, Czechia",no,NA,NA,NA,NA,NA,NA,NA
